"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95"
"UglyNakedGuy","DAX","5 day",2021-10-27,-2.40659723180217,-0.60724814195139,-0.00592892641207428,0.595390289127241,2.39473937897803,0.637728433138562,0.152216283247037,0.622488287544976,0.643657359550637,0.0635072160169821,0.0878505472919734,0.313943938730321,0.643657359550637,FALSE,TRUE
"HotPie","DAX","5 day",2021-10-27,-3.02664776296342,-0.804087279431357,0.352679789416288,1.33582311461192,3.23210721411161,0.637728433138562,0.183218809805099,0.72090785628496,0.285048643722274,0.349047340736679,0.129718939048652,0.333588317919533,0.285048643722274,TRUE,TRUE
"RossGeller","DAX","5 day",2021-10-27,-4.14199366443103,-0.773175366325618,0.1578036349542,1.12774304422384,3.37126977916396,0.637728433138562,0.23898610487848,0.70545189973209,0.479924798184362,0.245007305542639,0.13667706730127,0.361209435127768,0.479924798184362,TRUE,TRUE
"Yoda","DAX","5 day",2021-10-27,-3.12123168407664,-0.55256978264726,0.17170368597485,1.03828682750415,4.10021769608879,0.637728433138562,0.18794800586076,0.595149107892911,0.466024747163712,0.200279197182794,0.173124463147512,0.324505104249538,0.466024747163712,TRUE,TRUE
"AryaStark","DAX","6 day",2021-10-27,-4.63424464271421,-0.846199429857328,0.153881778064006,1.18771816316357,3.52022590111297,1.5707119192518,0.3102478280983,1.20845567455456,1.41683014118779,0.574490634132344,0.0974756990930586,0.721499995413212,1.41683014118779,FALSE,TRUE
"GeneralGrievous","DAX","6 day",2021-10-27,-3.03722196988549,-0.936545978135733,0.165681034326553,1.26790804678884,3.3685840385386,1.5707119192518,0.230396694456865,1.25362894869377,1.40503088492525,0.454205808694439,0.0898936059643401,0.686631188546931,1.40503088492525,FALSE,TRUE
"CaptainRaymondHolt","DAX","6 day",2021-10-27,-4.36037424444642,-0.778408462775104,0.220358416811628,1.46288500330289,5.35024593370607,1.5707119192518,0.296554308184911,1.17456019101345,1.35035350244017,0.161740373923358,0.188976700722714,0.634437015256921,1.35035350244017,FALSE,TRUE
"DexterJettster","DAX","6 day",2021-10-27,-2.07149915297452,-0.545991627165243,0.190332055613585,1.04763131286885,3.03955771179448,1.5707119192518,0.182110553611316,1.05835177320852,1.38037986363821,0.784620909574424,0.0734422896271341,0.695781077931922,1.38037986363821,FALSE,TRUE
"DougJudy","DAX","6 day",2021-10-27,-2.853566363577,-0.696981329689779,0.434581218917456,1.56614376752469,3.72272880141191,1.5707119192518,0.22121391414144,1.13384662447079,1.13613070033434,0.00685222759066351,0.107600844108006,0.521128862129048,1.13613070033434,FALSE,TRUE
"GinaLinetti","DAX","6 day",2021-10-27,0.653,0.893,1.177,1.369,1.465,1.5707119192518,0.04588559596259,0.3388559596259,0.393711919251799,0.302567878877699,0.206138242541009,0.257431919251799,0.393711919251799,FALSE,FALSE
"HanSolo","DAX","6 day",2021-10-27,-3.88127756108426,-1.11203581750818,0.258100498334899,1.18168844713494,4.83649522263213,1.5707119192518,0.272599474016803,1.34137386837999,1.3126114209169,0.583535208175286,0.163289165169017,0.734681827331599,1.3126114209169,FALSE,TRUE
"ChandlerBing","DAX","6 day",2021-10-27,-3.51617364729933,-0.625448993310036,0.176346344917593,1.07431772748732,3.42012955485623,1.5707119192518,0.254344278327556,1.09808045628092,1.39436557433421,0.744591287646721,0.0924708817802217,0.716770495673925,1.39436557433421,FALSE,TRUE
"Joey","DAX","6 day",2021-10-27,-1.59718462159315,-0.705861103453093,0.105945256095104,0.515338878115378,2.58212125426988,1.5707119192518,0.158394827042248,1.13828651135245,1.4647666631567,1.58305956170463,0.050570466750904,0.879015606001385,1.4647666631567,FALSE,TRUE
"Shaggydog","DAX","6 day",2021-10-27,-4.15332603209433,-1.10008285563877,0.469018635672305,1.72323706323132,4.80447505361421,1.5707119192518,0.286201897567306,1.33539738744529,1.10169328357949,0.0762625719897584,0.161688156718121,0.592248659459993,1.10169328357949,TRUE,TRUE
"mean_ensemble","DAX","6 day",2021-10-27,-3.25335894407987,-0.670826438406788,0.276469926065223,1.16979183961233,3.51778230653835,1.5707119192518,0.241203543166583,1.12076917882929,1.29424199318658,0.601380119459204,0.0973535193643276,0.670989670801197,1.29424199318658,FALSE,TRUE
"HotPie","DAX","6 day",2021-10-27,-3.35767705862808,-0.943615567795658,0.42212924397827,1.58633704863571,3.88167504929717,1.5707119192518,0.246419448893994,1.25716374352373,1.14858267527353,0.00781256469195535,0.115548156502269,0.555105317777095,1.14858267527353,TRUE,TRUE
"PhoebeBuffay","DAX","6 day",2021-10-27,-4.3609092036195,-0.672964573539145,0.416042475514488,1.35594577134935,2.8438065300057,1.5707119192518,0.296581056143565,1.12183824639547,1.15466944373731,0.322149221853674,0.0636547305376951,0.591778539733544,1.15466944373731,FALSE,TRUE
"Joffrey_Baratheon","DAX","6 day",2021-10-27,-5.14903654,-0.98851454,0.19093799,1.35373823,4.8737853,1.5707119192518,0.33598742296259,1.2796132296259,1.3797739292518,0.325460533877699,0.16515366903741,0.69719775695108,1.3797739292518,FALSE,TRUE
"UglyNakedGuy","DAX","6 day",2021-10-27,-2.85011237593657,-0.651598262791511,0.0661500755413695,0.78389841387425,2.98241252701931,1.5707119192518,0.221041214759418,1.11115509102166,1.50456184371043,1.18022025806632,0.0705850303883756,0.817512687589241,1.50456184371043,FALSE,TRUE
"median_ensemble","DAX","6 day",2021-10-27,-3.25335894407987,-0.670826438406788,0.276469926065223,1.16979183961233,3.51778230653835,1.5707119192518,0.241203543166583,1.12076917882929,1.29424199318658,0.601380119459204,0.0973535193643276,0.670989670801197,1.29424199318658,FALSE,TRUE
"JabbaTheHutt","DAX","6 day",2021-10-27,-4.17761,-0.78638,0.18773,1.28657,4.48852,1.5707119192518,0.28741609596259,1.1785459596259,1.3829819192518,0.426212878877699,0.14589040403741,0.68420945155108,1.3829819192518,FALSE,TRUE
